Incident_ID,Year,Country,Category,Fatality_Count,Witness_Reliability,Circumstances
50,1559,Russia,Culinary Mishap,1,0.94,Details regarding the unusual nature of the event.
51,1561,Russia,Supernatural Claim,1,0.46,Details regarding the unusual nature of the event.
52,1902,Brazil,Absurd Bad Luck,1,0.83,Details regarding the unusual nature of the event.
53,1540,Japan,Absurd Bad Luck,1,0.83,Details regarding the unusual nature of the event.
54,1889,USA,Mechanical Failure,1,0.54,Details regarding the unusual nature of the event.
55,1796,Germany,Mechanical Failure,1,0.44,Details regarding the unusual nature of the event.
56,1677,Brazil,Scientific Experiment,1,0.32,Details regarding the unusual nature of the event.
57,1746,Italy,Culinary Mishap,2,0.76,Details regarding the unusual nature of the event.
58,1611,Egypt,Absurd Bad Luck,1,0.89,Details regarding the unusual nature of the event.
59,1837,Italy,Supernatural Claim,1,0.64,Details regarding the unusual nature of the event.
60,1843,Russia,Absurd Bad Luck,1,0.15,Details regarding the unusual nature of the event.
61,1787,Japan,Culinary Mishap,1,0.65,Details regarding the unusual nature of the event.
62,1877,Italy,Supernatural Claim,1,0.82,Details regarding the unusual nature of the event.
63,1996,Germany,Absurd Bad Luck,1,0.85,Details regarding the unusual nature of the event.
64,1609,Japan,Animal Related,1,0.95,Details regarding the unusual nature of the event.
65,1738,USA,Culinary Mishap,10,0.8,Details regarding the unusual nature of the event.
66,1682,Italy,Historical Misconception,1,0.43,Details regarding the unusual nature of the event.
67,1680,United Kingdom,Historical Misconception,1,0.52,Details regarding the unusual nature of the event.
68,1566,Italy,Animal Related,1,0.17,Details regarding the unusual nature of the event.
69,1709,Brazil,Historical Misconception,2,0.57,Details regarding the unusual nature of the event.
70,1942,Japan,Culinary Mishap,1,0.45,Details regarding the unusual nature of the event.
71,1548,USA,Mechanical Failure,1,0.75,Details regarding the unusual nature of the event.
72,1739,Japan,Animal Related,1,0.58,Details regarding the unusual nature of the event.
73,1764,Egypt,Supernatural Claim,1,0.43,Details regarding the unusual nature of the event.
74,1594,Italy,Mechanical Failure,2,0.12,Details regarding the unusual nature of the event.
75,1917,Japan,Culinary Mishap,50,0.52,Details regarding the unusual nature of the event.
76,1629,Italy,Absurd Bad Luck,1,0.25,Details regarding the unusual nature of the event.
77,1787,Italy,Supernatural Claim,1,0.22,Details regarding the unusual nature of the event.
78,1965,Australia,Culinary Mishap,1,0.21,Details regarding the unusual nature of the event.
79,1990,Australia,Scientific Experiment,1,0.46,Details regarding the unusual nature of the event.
80,1649,Egypt,Mechanical Failure,1,0.48,Details regarding the unusual nature of the event.
81,2022,Italy,Mechanical Failure,1,0.26,Details regarding the unusual nature of the event.
82,1791,United Kingdom,Culinary Mishap,1,0.33,Details regarding the unusual nature of the event.
83,1937,Brazil,Animal Related,1,0.99,Details regarding the unusual nature of the event.
84,2022,Russia,Scientific Experiment,1,0.56,Details regarding the unusual nature of the event.
85,2001,Italy,Culinary Mishap,1,0.73,Details regarding the unusual nature of the event.
86,1873,Italy,Supernatural Claim,2,0.63,Details regarding the unusual nature of the event.
87,1982,Brazil,Supernatural Claim,1,0.29,Details regarding the unusual nature of the event.
88,2023,Australia,Animal Related,1,0.37,Details regarding the unusual nature of the event.
89,1772,Australia,Scientific Experiment,1,0.14,Details regarding the unusual nature of the event.
90,1507,Germany,Culinary Mishap,2,0.31,Details regarding the unusual nature of the event.
91,1750,Egypt,Supernatural Claim,1,0.3,Details regarding the unusual nature of the event.
92,1771,Japan,Culinary Mishap,10,0.85,Details regarding the unusual nature of the event.
93,1745,Brazil,Historical Misconception,1,0.31,Details regarding the unusual nature of the event.
94,1658,United Kingdom,Culinary Mishap,1,0.35,Details regarding the unusual nature of the event.
95,1647,Russia,Scientific Experiment,2,0.14,Details regarding the unusual nature of the event.
96,1775,Australia,Mechanical Failure,1,0.72,Details regarding the unusual nature of the event.
97,1747,Australia,Animal Related,1,0.33,Details regarding the unusual nature of the event.
98,2004,USA,Absurd Bad Luck,1,0.58,Details regarding the unusual nature of the event.
99,1712,USA,Mechanical Failure,3,0.78,Details regarding the unusual nature of the event.
100,1578,United Kingdom,Mechanical Failure,1,0.67,Details regarding the unusual nature of the event.
101,1939,United Kingdom,Historical Misconception,1,0.45,Details regarding the unusual nature of the event.
102,1718,Germany,Absurd Bad Luck,1,0.7,Details regarding the unusual nature of the event.
103,1596,Egypt,Animal Related,1,0.2,Details regarding the unusual nature of the event.
104,1917,Brazil,Scientific Experiment,1,0.56,Details regarding the unusual nature of the event.
105,1861,United Kingdom,Scientific Experiment,1,0.91,Details regarding the unusual nature of the event.
106,1754,Germany,Supernatural Claim,1,0.58,Details regarding the unusual nature of the event.
107,1748,Germany,Scientific Experiment,1,0.33,Details regarding the unusual nature of the event.
108,1594,Germany,Absurd Bad Luck,1,0.33,Details regarding the unusual nature of the event.
109,1732,Brazil,Scientific Experiment,1,0.47,Details regarding the unusual nature of the event.
110,1640,Brazil,Supernatural Claim,1,0.35,Details regarding the unusual nature of the event.
111,1663,Japan,Absurd Bad Luck,2,0.28,Details regarding the unusual nature of the event.
112,1527,Egypt,Supernatural Claim,1,0.57,Details regarding the unusual nature of the event.
113,1527,Italy,Animal Related,1,0.62,Details regarding the unusual nature of the event.
114,1757,Egypt,Historical Misconception,1,0.73,Details regarding the unusual nature of the event.
115,1777,Australia,Historical Misconception,1,0.5,Details regarding the unusual nature of the event.
116,1938,Japan,Animal Related,1,0.75,Details regarding the unusual nature of the event.
117,1541,Italy,Scientific Experiment,1,0.59,Details regarding the unusual nature of the event.
118,1611,Brazil,Scientific Experiment,1,0.48,Details regarding the unusual nature of the event.
119,1640,Japan,Absurd Bad Luck,1,0.35,Details regarding the unusual nature of the event.
120,1536,Australia,Absurd Bad Luck,1,0.24,Details regarding the unusual nature of the event.
121,1711,Russia,Culinary Mishap,1,0.66,Details regarding the unusual nature of the event.
122,1554,Germany,Mechanical Failure,1,0.79,Details regarding the unusual nature of the event.
123,1825,United Kingdom,Absurd Bad Luck,1,0.71,Details regarding the unusual nature of the event.
124,1857,Brazil,Culinary Mishap,1,1.0,Details regarding the unusual nature of the event.
125,1623,Japan,Supernatural Claim,1,0.63,Details regarding the unusual nature of the event.
126,1949,Egypt,Animal Related,1,0.68,Details regarding the unusual nature of the event.
127,1614,Italy,Animal Related,1,0.51,Details regarding the unusual nature of the event.
128,1580,Japan,Mechanical Failure,3,0.68,Details regarding the unusual nature of the event.
129,1590,United Kingdom,Historical Misconception,1,0.92,Details regarding the unusual nature of the event.
130,1966,Germany,Scientific Experiment,1,0.93,Details regarding the unusual nature of the event.
131,1964,United Kingdom,Animal Related,1,0.38,Details regarding the unusual nature of the event.
132,1997,Australia,Animal Related,1,0.95,Details regarding the unusual nature of the event.
133,1965,Egypt,Historical Misconception,1,0.78,Details regarding the unusual nature of the event.
134,1609,Russia,Historical Misconception,2,0.11,Details regarding the unusual nature of the event.
135,1891,Italy,Animal Related,1,0.11,Details regarding the unusual nature of the event.
136,1808,USA,Supernatural Claim,1,0.54,Details regarding the unusual nature of the event.
137,1600,Egypt,Historical Misconception,1,0.38,Details regarding the unusual nature of the event.
138,1757,Germany,Absurd Bad Luck,1,0.52,Details regarding the unusual nature of the event.
139,1906,Egypt,Mechanical Failure,1,0.66,Details regarding the unusual nature of the event.
140,1639,USA,Supernatural Claim,1,0.37,Details regarding the unusual nature of the event.
141,1775,Germany,Mechanical Failure,1,0.69,Details regarding the unusual nature of the event.
142,1666,Egypt,Culinary Mishap,1,0.58,Details regarding the unusual nature of the event.
143,1808,Australia,Absurd Bad Luck,1,0.87,Details regarding the unusual nature of the event.
144,1912,United Kingdom,Supernatural Claim,1,0.43,Details regarding the unusual nature of the event.
145,1907,Russia,Supernatural Claim,1,0.48,Details regarding the unusual nature of the event.
146,1536,Egypt,Supernatural Claim,1,0.26,Details regarding the unusual nature of the event.
147,1810,USA,Historical Misconception,1,0.69,Details regarding the unusual nature of the event.
148,1918,Brazil,Supernatural Claim,1,0.84,Details regarding the unusual nature of the event.
149,2010,Italy,Animal Related,2,0.23,Details regarding the unusual nature of the event.
150,1568,Japan,Scientific Experiment,1,0.21,Details regarding the unusual nature of the event.
151,1669,Russia,Culinary Mishap,1,0.31,Details regarding the unusual nature of the event.
152,1920,Russia,Culinary Mishap,1,0.97,Details regarding the unusual nature of the event.
153,1510,Japan,Supernatural Claim,1,0.34,Details regarding the unusual nature of the event.
154,1693,Australia,Historical Misconception,1,0.19,Details regarding the unusual nature of the event.
155,1806,Egypt,Culinary Mishap,1,0.35,Details regarding the unusual nature of the event.
156,1765,United Kingdom,Animal Related,1,0.37,Details regarding the unusual nature of the event.
157,1991,Brazil,Culinary Mishap,1,0.77,Details regarding the unusual nature of the event.
158,1558,Russia,Historical Misconception,3,0.25,Details regarding the unusual nature of the event.
159,1714,United Kingdom,Supernatural Claim,1,0.31,Details regarding the unusual nature of the event.
160,1753,Brazil,Mechanical Failure,1,0.88,Details regarding the unusual nature of the event.
161,1575,Russia,Absurd Bad Luck,1,0.91,Details regarding the unusual nature of the event.
162,1932,Australia,Supernatural Claim,1,0.65,Details regarding the unusual nature of the event.
163,1829,Japan,Animal Related,1,0.51,Details regarding the unusual nature of the event.
164,1504,Egypt,Absurd Bad Luck,1,0.84,Details regarding the unusual nature of the event.
165,1691,Italy,Culinary Mishap,2,0.97,Details regarding the unusual nature of the event.
166,2003,Japan,Scientific Experiment,1,0.66,Details regarding the unusual nature of the event.
167,1547,Japan,Animal Related,1,0.22,Details regarding the unusual nature of the event.
168,1811,USA,Animal Related,1,0.59,Details regarding the unusual nature of the event.
169,1880,Italy,Absurd Bad Luck,1,0.78,Details regarding the unusual nature of the event.
170,1967,Russia,Culinary Mishap,1,0.65,Details regarding the unusual nature of the event.
171,1978,Brazil,Scientific Experiment,1,0.67,Details regarding the unusual nature of the event.
172,1977,United Kingdom,Absurd Bad Luck,1,0.99,Details regarding the unusual nature of the event.
173,1960,Italy,Scientific Experiment,2,0.64,Details regarding the unusual nature of the event.
174,1567,Egypt,Historical Misconception,1,0.4,Details regarding the unusual nature of the event.
175,1545,Russia,Culinary Mishap,1,0.62,Details regarding the unusual nature of the event.
176,1629,Australia,Historical Misconception,50,0.86,Details regarding the unusual nature of the event.
177,2011,Brazil,Scientific Experiment,1,0.57,Details regarding the unusual nature of the event.
178,1893,Brazil,Scientific Experiment,2,0.23,Details regarding the unusual nature of the event.
179,1620,Russia,Absurd Bad Luck,1,0.88,Details regarding the unusual nature of the event.
180,1722,United Kingdom,Supernatural Claim,1,0.82,Details regarding the unusual nature of the event.
181,1783,Japan,Culinary Mishap,1,0.2,Details regarding the unusual nature of the event.
182,1967,Australia,Scientific Experiment,1,0.83,Details regarding the unusual nature of the event.
183,1989,USA,Culinary Mishap,1,0.93,Details regarding the unusual nature of the event.
184,1678,USA,Historical Misconception,1,0.93,Details regarding the unusual nature of the event.
185,1597,Japan,Animal Related,1,0.15,Details regarding the unusual nature of the event.
186,1831,USA,Supernatural Claim,1,0.26,Details regarding the unusual nature of the event.
187,2002,Australia,Culinary Mishap,1,0.18,Details regarding the unusual nature of the event.
188,1655,Russia,Mechanical Failure,1,0.96,Details regarding the unusual nature of the event.
189,1658,Japan,Mechanical Failure,1,0.6,Details regarding the unusual nature of the event.
190,1781,Brazil,Absurd Bad Luck,1,0.58,Details regarding the unusual nature of the event.
191,1804,Egypt,Absurd Bad Luck,1,0.58,Details regarding the unusual nature of the event.
192,1694,Japan,Animal Related,1,0.79,Details regarding the unusual nature of the event.
193,1830,United Kingdom,Culinary Mishap,1,0.26,Details regarding the unusual nature of the event.
194,1924,Egypt,Mechanical Failure,1,0.37,Details regarding the unusual nature of the event.
195,1633,Russia,Mechanical Failure,1,0.47,Details regarding the unusual nature of the event.
196,1570,Germany,Mechanical Failure,1,0.63,Details regarding the unusual nature of the event.
197,1722,Brazil,Mechanical Failure,1,0.24,Details regarding the unusual nature of the event.
198,1544,Japan,Historical Misconception,1,0.85,Details regarding the unusual nature of the event.
199,1672,Germany,Culinary Mishap,3,0.66,Details regarding the unusual nature of the event.
200,2009,Brazil,Absurd Bad Luck,1,0.93,Details regarding the unusual nature of the event.
201,1503,Japan,Mechanical Failure,1,0.45,Details regarding the unusual nature of the event.
202,1914,Germany,Animal Related,1,0.33,Details regarding the unusual nature of the event.
203,1992,Egypt,Culinary Mishap,2,0.9,Details regarding the unusual nature of the event.
204,1723,USA,Culinary Mishap,1,0.25,Details regarding the unusual nature of the event.
205,1757,Russia,Culinary Mishap,1,0.87,Details regarding the unusual nature of the event.
206,1808,Japan,Scientific Experiment,1,0.3,Details regarding the unusual nature of the event.
207,1522,Brazil,Absurd Bad Luck,1,0.15,Details regarding the unusual nature of the event.
208,1510,United Kingdom,Absurd Bad Luck,1,0.24,Details regarding the unusual nature of the event.
209,1924,Australia,Animal Related,1,0.9,Details regarding the unusual nature of the event.
210,1665,Australia,Historical Misconception,2,0.53,Details regarding the unusual nature of the event.
211,1630,Australia,Animal Related,1,0.84,Details regarding the unusual nature of the event.
212,1863,Russia,Absurd Bad Luck,1,0.36,Details regarding the unusual nature of the event.
213,1704,Germany,Historical Misconception,2,0.16,Details regarding the unusual nature of the event.
214,1717,Russia,Historical Misconception,1,0.79,Details regarding the unusual nature of the event.
215,1985,Australia,Animal Related,1,0.97,Details regarding the unusual nature of the event.
216,1912,Germany,Mechanical Failure,2,0.25,Details regarding the unusual nature of the event.
217,1969,Germany,Animal Related,1,0.33,Details regarding the unusual nature of the event.
218,1582,Italy,Historical Misconception,1,0.16,Details regarding the unusual nature of the event.
219,2008,Russia,Supernatural Claim,1,0.19,Details regarding the unusual nature of the event.
220,1823,Germany,Mechanical Failure,2,0.82,Details regarding the unusual nature of the event.
221,1760,Russia,Mechanical Failure,1,0.17,Details regarding the unusual nature of the event.
222,2010,Brazil,Scientific Experiment,1,0.2,Details regarding the unusual nature of the event.
223,1987,United Kingdom,Absurd Bad Luck,1,0.8,Details regarding the unusual nature of the event.
224,1931,Japan,Culinary Mishap,1,0.58,Details regarding the unusual nature of the event.
225,1520,Australia,Historical Misconception,2,0.54,Details regarding the unusual nature of the event.
226,2025,USA,Absurd Bad Luck,1,0.85,Details regarding the unusual nature of the event.
227,2008,Germany,Historical Misconception,3,0.53,Details regarding the unusual nature of the event.
228,1949,Japan,Animal Related,1,0.79,Details regarding the unusual nature of the event.
229,1699,Italy,Scientific Experiment,2,0.49,Details regarding the unusual nature of the event.
230,1643,Australia,Mechanical Failure,1,0.85,Details regarding the unusual nature of the event.
231,1515,Russia,Historical Misconception,1,0.82,Details regarding the unusual nature of the event.
232,1522,United Kingdom,Supernatural Claim,2,0.41,Details regarding the unusual nature of the event.
233,1899,Brazil,Animal Related,1,0.12,Details regarding the unusual nature of the event.
234,1667,Russia,Historical Misconception,1,0.74,Details regarding the unusual nature of the event.
235,1869,USA,Absurd Bad Luck,1,0.83,Details regarding the unusual nature of the event.
236,2023,Japan,Absurd Bad Luck,1,0.33,Details regarding the unusual nature of the event.
237,1525,Brazil,Supernatural Claim,1,0.75,Details regarding the unusual nature of the event.
238,1543,Brazil,Mechanical Failure,1,0.32,Details regarding the unusual nature of the event.
239,1726,Australia,Scientific Experiment,1,0.38,Details regarding the unusual nature of the event.
240,1878,Germany,Culinary Mishap,1,0.84,Details regarding the unusual nature of the event.
241,1565,Japan,Animal Related,1,0.39,Details regarding the unusual nature of the event.
242,1590,Italy,Supernatural Claim,1,0.65,Details regarding the unusual nature of the event.
243,1963,Brazil,Absurd Bad Luck,3,0.6,Details regarding the unusual nature of the event.
244,1794,USA,Animal Related,1,0.44,Details regarding the unusual nature of the event.
245,1742,Russia,Culinary Mishap,1,0.19,Details regarding the unusual nature of the event.
246,1511,United Kingdom,Absurd Bad Luck,3,0.87,Details regarding the unusual nature of the event.
247,1844,Egypt,Absurd Bad Luck,1,0.98,Details regarding the unusual nature of the event.
248,1723,USA,Supernatural Claim,1,0.28,Details regarding the unusual nature of the event.
249,1814,Germany,Culinary Mishap,1,0.22,Details regarding the unusual nature of the event.
250,1644,United Kingdom,Absurd Bad Luck,1,0.72,Details regarding the unusual nature of the event.
251,1591,Japan,Historical Misconception,3,0.76,Details regarding the unusual nature of the event.
252,1557,Italy,Culinary Mishap,1,0.84,Details regarding the unusual nature of the event.
253,1856,Russia,Animal Related,1,0.5,Details regarding the unusual nature of the event.
254,1664,United Kingdom,Supernatural Claim,1,0.28,Details regarding the unusual nature of the event.
255,1816,Japan,Animal Related,1,0.18,Details regarding the unusual nature of the event.
256,1837,United Kingdom,Animal Related,1,0.59,Details regarding the unusual nature of the event.
257,1585,USA,Historical Misconception,1,0.39,Details regarding the unusual nature of the event.
258,1949,United Kingdom,Absurd Bad Luck,1,0.56,Details regarding the unusual nature of the event.
259,1526,United Kingdom,Scientific Experiment,10,0.87,Details regarding the unusual nature of the event.
260,1790,Russia,Culinary Mishap,1,0.59,Details regarding the unusual nature of the event.
261,1594,United Kingdom,Culinary Mishap,1,0.18,Details regarding the unusual nature of the event.
262,1881,Egypt,Absurd Bad Luck,2,0.86,Details regarding the unusual nature of the event.
263,1938,USA,Historical Misconception,1,0.95,Details regarding the unusual nature of the event.
264,1625,USA,Historical Misconception,2,0.96,Details regarding the unusual nature of the event.
265,1529,Germany,Scientific Experiment,1,0.93,Details regarding the unusual nature of the event.
266,1726,Russia,Culinary Mishap,1,0.71,Details regarding the unusual nature of the event.
267,1793,USA,Animal Related,1,0.72,Details regarding the unusual nature of the event.
268,2002,Japan,Culinary Mishap,1,0.44,Details regarding the unusual nature of the event.
269,1830,United Kingdom,Scientific Experiment,1,0.64,Details regarding the unusual nature of the event.
270,1521,Egypt,Historical Misconception,1,0.88,Details regarding the unusual nature of the event.
271,1791,Japan,Scientific Experiment,1,0.47,Details regarding the unusual nature of the event.
272,1696,Australia,Historical Misconception,50,0.45,Details regarding the unusual nature of the event.
273,1787,Italy,Animal Related,1,0.4,Details regarding the unusual nature of the event.
274,1846,Brazil,Animal Related,1,0.62,Details regarding the unusual nature of the event.
275,1796,Russia,Absurd Bad Luck,1,0.2,Details regarding the unusual nature of the event.
276,1881,Egypt,Supernatural Claim,1,0.24,Details regarding the unusual nature of the event.
277,1960,Germany,Absurd Bad Luck,10,0.54,Details regarding the unusual nature of the event.
278,1875,Australia,Absurd Bad Luck,1,0.29,Details regarding the unusual nature of the event.
279,1647,Italy,Animal Related,1,0.34,Details regarding the unusual nature of the event.
280,1886,Brazil,Absurd Bad Luck,1,0.79,Details regarding the unusual nature of the event.
281,1927,Russia,Animal Related,1,0.88,Details regarding the unusual nature of the event.
282,1951,Italy,Culinary Mishap,1,0.19,Details regarding the unusual nature of the event.
283,1829,Italy,Historical Misconception,1,0.63,Details regarding the unusual nature of the event.
284,1890,Germany,Animal Related,1,0.61,Details regarding the unusual nature of the event.
285,1780,USA,Culinary Mishap,1,0.31,Details regarding the unusual nature of the event.
286,1913,Italy,Mechanical Failure,1,0.53,Details regarding the unusual nature of the event.
287,1891,Brazil,Supernatural Claim,1,0.31,Details regarding the unusual nature of the event.
288,1702,Germany,Culinary Mishap,2,0.89,Details regarding the unusual nature of the event.
289,2003,USA,Culinary Mishap,1,0.55,Details regarding the unusual nature of the event.
290,1902,Egypt,Culinary Mishap,3,0.72,Details regarding the unusual nature of the event.
291,1891,Australia,Scientific Experiment,1,0.3,Details regarding the unusual nature of the event.
292,1980,Germany,Supernatural Claim,1,0.64,Details regarding the unusual nature of the event.
293,1728,Russia,Supernatural Claim,1,0.44,Details regarding the unusual nature of the event.
294,1844,Japan,Mechanical Failure,1,0.6,Details regarding the unusual nature of the event.
295,2013,Japan,Supernatural Claim,1,0.72,Details regarding the unusual nature of the event.
296,1959,Japan,Animal Related,1,0.35,Details regarding the unusual nature of the event.
297,1853,Russia,Absurd Bad Luck,1,0.17,Details regarding the unusual nature of the event.
298,1790,Germany,Scientific Experiment,1,0.23,Details regarding the unusual nature of the event.
299,2013,Egypt,Animal Related,1,0.79,Details regarding the unusual nature of the event.
300,1563,Australia,Supernatural Claim,2,0.54,Details regarding the unusual nature of the event.
301,1686,USA,Absurd Bad Luck,1,0.59,Details regarding the unusual nature of the event.
302,1580,Italy,Absurd Bad Luck,1,0.81,Details regarding the unusual nature of the event.
303,1924,Brazil,Culinary Mishap,2,0.14,Details regarding the unusual nature of the event.
304,1880,United Kingdom,Culinary Mishap,1,0.53,Details regarding the unusual nature of the event.
305,1527,Brazil,Culinary Mishap,1,0.28,Details regarding the unusual nature of the event.
306,1824,Italy,Absurd Bad Luck,1,0.85,Details regarding the unusual nature of the event.
307,1522,Egypt,Supernatural Claim,1,0.55,Details regarding the unusual nature of the event.
308,1535,Germany,Scientific Experiment,1,0.31,Details regarding the unusual nature of the event.
309,1907,USA,Animal Related,1,0.7,Details regarding the unusual nature of the event.
310,1991,Russia,Supernatural Claim,2,0.97,Details regarding the unusual nature of the event.
311,1747,USA,Culinary Mishap,1,0.59,Details regarding the unusual nature of the event.
312,1659,Australia,Culinary Mishap,1,0.81,Details regarding the unusual nature of the event.
313,1712,Germany,Supernatural Claim,1,0.77,Details regarding the unusual nature of the event.
314,1709,Japan,Supernatural Claim,1,0.85,Details regarding the unusual nature of the event.
315,1767,Italy,Scientific Experiment,1,0.72,Details regarding the unusual nature of the event.
316,1658,Germany,Culinary Mishap,1,0.87,Details regarding the unusual nature of the event.
317,1525,Russia,Absurd Bad Luck,3,0.11,Details regarding the unusual nature of the event.
318,1816,Egypt,Animal Related,1,0.66,Details regarding the unusual nature of the event.
319,1629,Australia,Supernatural Claim,1,0.89,Details regarding the unusual nature of the event.
320,1784,Egypt,Mechanical Failure,1,0.12,Details regarding the unusual nature of the event.
321,1599,Japan,Scientific Experiment,50,0.9,Details regarding the unusual nature of the event.
322,1648,United Kingdom,Scientific Experiment,1,0.92,Details regarding the unusual nature of the event.
323,2018,Australia,Historical Misconception,1,0.66,Details regarding the unusual nature of the event.
324,1708,United Kingdom,Mechanical Failure,1,0.44,Details regarding the unusual nature of the event.
325,1799,Brazil,Culinary Mishap,1,0.33,Details regarding the unusual nature of the event.
326,1663,United Kingdom,Absurd Bad Luck,1,0.67,Details regarding the unusual nature of the event.
327,1556,Japan,Scientific Experiment,1,0.96,Details regarding the unusual nature of the event.
328,1670,United Kingdom,Culinary Mishap,1,0.35,Details regarding the unusual nature of the event.
329,1832,Japan,Historical Misconception,2,0.87,Details regarding the unusual nature of the event.
330,1699,Egypt,Absurd Bad Luck,1,0.58,Details regarding the unusual nature of the event.
331,1927,Germany,Scientific Experiment,1,0.14,Details regarding the unusual nature of the event.
332,1913,Italy,Animal Related,1,0.89,Details regarding the unusual nature of the event.
333,1880,United Kingdom,Animal Related,1,0.88,Details regarding the unusual nature of the event.
334,1595,Japan,Supernatural Claim,1,0.38,Details regarding the unusual nature of the event.
335,1639,Australia,Animal Related,1,0.69,Details regarding the unusual nature of the event.
336,1865,Germany,Supernatural Claim,1,0.41,Details regarding the unusual nature of the event.
337,1788,Germany,Mechanical Failure,3,0.15,Details regarding the unusual nature of the event.
338,1502,Japan,Historical Misconception,1,0.49,Details regarding the unusual nature of the event.
339,1615,USA,Mechanical Failure,1,0.83,Details regarding the unusual nature of the event.
340,1596,Japan,Supernatural Claim,1,0.79,Details regarding the unusual nature of the event.
341,1887,Australia,Supernatural Claim,1,0.9,Details regarding the unusual nature of the event.
342,1635,Egypt,Culinary Mishap,1,0.45,Details regarding the unusual nature of the event.
343,1862,Germany,Supernatural Claim,1,0.53,Details regarding the unusual nature of the event.
344,1920,Brazil,Culinary Mishap,1,0.91,Details regarding the unusual nature of the event.
345,1966,Germany,Mechanical Failure,2,0.92,Details regarding the unusual nature of the event.
346,1726,Japan,Supernatural Claim,1,0.27,Details regarding the unusual nature of the event.
